,track_id,text,explicit,script_tracking_url
0,35147897,"Your name in lights
Vibrating to your ring tone
My world begins to dance
We discuss important stuff
The rendezvous is set up
To catch a film and dinner

Stuck in a cinema or
Saving me from a car your
Suddenly realize I'm falling into my arms
Working you under cover
Softly slowly got ya
Any moment now your gonna swoon
Into my arms

A same you
A same me
Spoon feeding the ground dark soil
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",0,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_9867316/su_0/rs_0/tr_3vUCADq9m323Vkj5765KeA7O2JWTI3yxL_d3GcSoCMCsoRHruAqNIFeQbBpkQhS2QH_C4vJifAQYT0zu_1sG7kv1rPyXCMYc7OiK4jVx4F9B2cHd6p5n4ZnXxl710oUnMj400JMZHupTJRy5UpEhp8k-bVPuijXPhhVe7DJrlOczUBLdJOICVt9P8sOoD9u_NyDC993_4gTyvzkJvGeuwYFS7BQ4OzqgqowJQirrY7_TaLov8ag8SoBdGTq495YONxvEzH3eUQuGtXa7nr97e2jvjQ7z0G1H5-5DY10SwL8wgCur9WgIVDPyMN1rOFpowRo-mWaRrkXlhbWu3ZPxOBIFKdo1X_DziZcJrzjcWl3T7XjQvAlNWsqjCUa4ZyB3hLsWwDhHcaLGaLmkneUZ3budhX76pBgpA8OC33RSHlwixkzINgZOkg7o1RyVQwn7iBIQfHoVgXh-KnjAkjHFfR8abbtaGVB9/
1,178403480,"Your name in lights
Vibrating to your ring tone
My world begins to dance
We discuss important stuff
The rendezvous is set up
To catch a film and dinner

Stuck in a cinema or
Saving me from a car your
Suddenly realize I'm falling into my arms
Working you under cover
Softly slowly got ya
Any moment now your gonna swoon
Into my arms

A same you
A same me
Spoon feeding the ground dark soil
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",0,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_9867315/su_0/rs_0/tr_3vUCAHnoogTSEXUYgyNP6nhDZzTtDI57VJjgD7qlpRoWt3kl7s8X9DYCnT-aM7FphJZElPPs0FWS8kk4RZs-hQU7o2hu-OA3smlvdMs5gKX5qbUJDV_5Bqgcqnme_2lD93NNg9v4f7cxhck4pz1VRO1tBFBKh3e3595_QCgIhhtCBkCymPEqnoqlJ8wxMOp9K2OYcgsxEpdG143aOsasM71NJl5FsoTt1Kwbzk39_j1yfIYJPcutY6hHxfuMaiexLwN7pFYIopglfFxCiu-0GQ8cfB_BFUz6SVh4-Gj5J04IhtI2vuzt7oyWNOnA2l68OlQB8hXvopjdqyscyb5M_RVYNGvjdi_VRbtrgR_us1_rTm_AXqVJqx_VEBl8o0lSkDY2sTMGX0wH9dZ5UzeRF1FNiQldCmkFYZe275oT_jbvThpwgLADPxPeeA4xAiUWt4fRStjwIFFtsEs-6xAZVSwcb40B5ejN3voV/
2,43666506,"Do it again
Do it again
Do it again
Do it again
Do it again
Do it again
Do it again
Do it again
(...)
Do it again
Do it again
Do it again
Do it again
Do it again
Do it again
Do it again
Do it again
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",0,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_13349528/su_0/rs_0/tr_3vUCAHzDLxMWk638vcJbMxTe-ID6yte4kYHc5WoN1LZN24DrQCinAkdJmgB-5foJQv05E31zbJ-EM5s2bLGj1_41bMVsmG_b2kZqMsK8qIHGpR4KfnlBCDgx19nswYCsmy-lskw-mHQUDwTuxsYRkyJeS-AnpDQw1a-0ox3t_b-g4nmEQBJcp4-pkmiAPfBm2sVnAVQUPHSEN2K6vVadKbFoDlsVCe4KcCAl9fMle71GOUkvFTJvF537lxJ7FRTJ3jaEbPfQaQn6OhV5Aa3V87HwX9vz_073TuXpOMPl8i5DZBvfp4mO96feaAHA8_UCmMtr6YwI45bLtn8SQ9qYAN_VthFIaTcglEtEGygMAdDcTPmsx4JTbZpEa2aiXiTCpKlRecsYEFkGiVPruRkJzLIdFuKzHSzUVd1uxJezqGHA-Yqt-LcJSyIZfMtMWiKaCQ_cNk7mGHY5uZfh8R2AOWoIUUbRYfFsdy8iblwuuAzMcYDRoopb2tV76aklcX-Bcg/
3,179156467,"Listen to your heart
Don't run away
Listen to your heart
Don't run away

Babe, listen, he wants you too
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",0,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_34165675/su_0/rs_0/tr_3vUCAJuh0AjFfsev2fnKfblrlx3bLRK7ll3ITFauzik5ro-m9J5YXWdmub2pDaHbPCpxaQmETuUB7VYamuXfusuuI1epovzrevbDeOSVgN5B3oSQ_Jsd5a-ErEa407TT5i8mGY4bOFxdl_LExL8EX5pSq1EJxR6AcooDh-uWLA_l7e3mPtz0mRh3KB54HRBDPdthtzFYGuWLYdyVi-fksq4DFTk3wuv6QqfHVUvVMA7fJNnjJLvxCNwwRFOmlQdF5GOJyIH9yfHye2PCf6WpfvgI66Rkrnws2z6-_H2-qXqXcPBoWIAYeHfd95gJpnwuaw-iBf6faXhrEWNwciHdwwtWWUy68oxP0H1yh1tfReLDTtw3B2tkm3mMu-HAMNU4SuiX_bIf9DKSgGPU1cfkBXyO62XoZaBNcrjCYoZs3Yv66X7cbnZsPKjvTcZ2s86F6KbFVAXjXJrXLqnEH74hA2n1kg/
4,976849,"Head in the clouds, and a mouthful of pie
head in a blouse, everybody loves him
i see why
Dagenham dave, dagenham dave
oh, dagenham dave
dagenham dave, dagenham dave
oh, dagenham dave

""i love karen, i love sharon"" on the windowscreen
with never the need to fight or to question a single thing

dagenham dave, dagenham dave
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",0,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_2321870/su_0/rs_0/tr_3vUCAHSiaecSLdFrDsUThqP3LBku7qcFNogHzkdglZoxcTkpkmvKjGYZbbAN-M1Jk6aCH3ywBHIeVWaUaYIQkbz4yqT0qIp2flaW5waR2hVpwQ_BGMcbNaQd0FtHO0jQ12fAzFyQ78mmSIQ275uqZzz3GAtdwwkeqB83rTFo318QTLd98VNZ4JNbCqApVNAVtzP2aMev-YKAp_VdHNJ-NUucsPahIGLwUWi6FZWz5oeqWao2iAhetoDlcKo4tY5ISjWfhZsSdovHb5jhbhZWhBREmjb2RNEl6mCHTcdj2raIF66haKF4E-sI3J6IIzYzllqF0xNPzujfgStmzx-t6a8N019l1Z1GMGyGPEUsuHOX-fDMoLh4U39oyUkehRkhNAaLzgKFlxSV4Jxy7aV6F7Ca9gWyZ8fFW1IyjzV7x7krKqJwqYXZ-WztkVBj/
5,63213649,"I'm driving your girlfriend home
And she's saying how she never chose you
""Turn left"", she says, I turn left and she says
""So how did I end up so deeply involved in
The very existence I planned on avoiding?""
And I can't answer
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",0,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_9482353/su_0/rs_0/tr_3vUCAGArcZhHoy8hGI9gj9LHDWNhENVZyDIz8a8V2rH6swY5a7RinC45Dr7TdeOlmPSK5grMCYGItXzsu17mtUidxYm4Hzn2PG9KZ5cgii5V3UEDmu7WT0bcYvBi8J0YytWKK6dvajaUAGu7akh7TfJugh6IghVhBRFEVyjiuTZGVqrrnH8qJM6CgO_QBInZxq1gbrm8XomY7_0PoVGivcrbw9xYd0rCD5fc5UvBdygZITkV0YF-qMAkH3fB9yE5M4-DNYSqzTEpITx4SEI1wm6Vmsm_Y6QxBsidmEljHP1IACFjF0MHMcnLd8I6jzkL3S5RlNHIMzSxT0N1X8VjxBM6NzzqrYoZSb4VmBMdhWpF4c6S0s5BYjGL9Wr-6g_3Ee-6NkW9V1LW1hYLQ6rZCRWacDwdQcCRluinBQfDEEEZ7MZynmgDtuK0quS95SGtJO-x_fjZ-ZgDa-VgHkMLdavrPEIPnHzzVeb5PArI/
6,43508601,"Sleep on and dream of Love
Because it's the closest you will
Get to love
Poor twisted child
So ugly, so ugly
Poor twisted child
Oh hug me, oh hug me
One November
Spawned a monster
In the shape of this child
Who later cried:

""But Jesus made me, so
Jesus save me from
pity, sympathy
And people discussing me""
A frame of useless limbs
What can make GOOD
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",0,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_7249662/su_0/rs_0/tr_3vUCAGtZLTmpBaA8Ua-M46MzcvPSjtDFc-LoI6K-EzyCEPYItcS7RoVPqQpWNPzrs1CDWjuhg7sN0PadU0ySjP1TL9CJPv-RqjDaU1beZofB170ur5Q9vdto_wqGU1-bl89_A0VsaShceornkGwoQzmqqm-kMR78EtB7ZrDou7kpiSV0luTbqKO7hfN8qNPugcAiiutD2FGOikYaWpoclEwlbHFdHO5x9gxT47GFwnKrhWaEuyj5nGl_IQFj3PHN7zoYV1gP2A-x8fTzAKcKDci_niecnmRd2WcehU-VZitq6AfCYtwYw_3e-QtKHg2LHjmwafYbPloIY3QBpPKDOKSv764BELgH-_bSO084xeyyE4kff7BhDaXdYJCuT2Pux_QddqBJEy-uBOZKvEYYDn3GfmkdTETBSyniLomlMq8lVtfJ-WMhVWIIQ7aAJJJjpcVlKPuF/
7,558675,"Angel, Angel
Don't take your life tonight

I know they take
And that they take in turn
And they give you nothing real
For yourself in return
But when they've used you
And they've broken you
And wasted all your money
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",0,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_1631034/su_0/rs_0/tr_3vUCAPyiSmYcgAbaLX1LRc3keBLlFcr_qP2Tj-IrmnqKsQ_7_dhW0-B-7RFTYtVZMOrhiQ30pC84ReHQobMokRA2pmguPCJJh5XW1tSL02gqGSNp4dMXNllvSGArLiXw7F7kU_tHSQmMMmxQzYtwHVNSc8fYg-RRFTGNKFuYF9z3hUMv88epGfFQB7risqOz_Vd77LXewieLgqHvgKL72L1duE5gE_V8RThebiMpLzDeZjMfY930rog_MxobUKvD0EdLlRCfcg7QA64XHaVptyduPJ8UylK6FcqC8r-sLVDA2GsgWgjU1QRhm0e6aQFokXt8r3mwBDflpMVJZgvtg7TcDiVYAukZiCoOnlxdO2RUizlTQ-jgOiOOlYDFGuHSREraMvDnQaB1AgS91MPyPYWhX8otLFEAFDsmHva1b-r3hgknGo23tO95jOb_Usg9327es36qSdLgu-IxIibve7o/
8,88252574,"Slow walk
It's a land mine
It's a coal mine
It's a bad thought

I'm on my way to, god, don't know
My brain's the burger and my heart's the coal
I'm trying to get my head clear
I push things out through my mouth, I get refilled through my ears
I get refilled through my ears
I get refilled through my ears

I'm on my way to, god, don't know or don't care
My brain's the weak heart and my heart's the long stairs
My heart's the long stairs
My heart's the long stairs

In the land from Vancouver shores
The ravens and the seagulls push each other inward and outward
Inward and outward
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",0,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_28448887/su_0/rs_0/tr_3vUCAFl45j-ItUmkB8fGL1Vo-3p3DbAyvEb88zJXWaVqVASfJTDLw_mMp3F9vrq2BgilO8j7n1w6hjn-frA78oinrpjLGalW1Qf4T8oXLImYY-d0UuOA5eGbhNC_kOTa_m7y6rOyHKQSVTacxut1RjjwP_-e53U_caWd5KRSGoPeaddX0HR-A5pNSr0KFvf_lRv8OeWcmgZowbaTqsRNPEKMqmZxOym_W8Yy6HBaBpdD8-iJ9Y0T7XqpMMF4_WgxkOKlH76b8cnDOQ68Qgevg-0niYqb1CPWq0lIuZ_GAsNACewHe4pLiylR4ZWl0kIFriNdQZ9WporNpSC8P4KH3u4jPr29oJ4He1ptOwzzQ4KI8ZliLdAdPxF9YiXFGDtEoLT-3jlR6cT-U-yzRFWDlLk3EEDBq1CK3aVsgxy41HdWiXad4bNHCDmbbw-vRy3356rj5Q/
9,78167658,"Our hearts don't change from pups to dust
Couldn't see clearly, but I had a sense of what right and wrong was
Honest to God, I was honest as hell
I don't lie very often, but I lie very well

Give it away
Take what you need
Love does not cost money, but it ain't free

We're learning slowly
Equal parts of what you do, you don't
We don't remember
We don't remember (remember)
Just how we got here
...

******* This Lyrics is NOT for Commercial use *******
(1409624530551)",1,https://tracking.musixmatch.com/t1.0/m_js/e_1/sn_0/l_34528897/su_0/rs_0/tr_3vUCAK7qHOrpTdtgxIdjyFApLJ2Q7CvCfwA3vK1J25i9Tjj0I1dtZERIK7NNCLH8OZRF0BFlsTSc_O0H_hy5wuE1SoDDFjkP9ax6xo2-ziYlw8hNp81Hew6tqR4IUuneIc2hpz3S0D_am4W-iV1V-nR5qL3Ui760TrV_PKxoMKvNg-7AjyyUi5YVoG6MaXo5I0xENtf72NsVoXJZpaE8TLGjXulsu80I9IoVUqMbJzaZP9qnGOuwTHnkR8HHTnDZBj-LSLQgGD7Op_FkKt5wKSmY_fSDsbo0DiXk9MDsU_rCmyHDONNFXNsIJtd5AsIAWOophogDs48QOirHCLj5MNxooAzO3XJPD3nypMDm-gmvicOATXhEsVoPNe8ly_aeGqek9Bc5ONir9xO9l3CeTwFxLMibaLp8Qu5fBw872FXdPIrv9QmYz56O64IILvI06w/
